country_code,code,name,active
EG,15,Suez,true
ER,01,Anseba,true
ER,02,Debub,true
ER,04,Gash-Barka,true
ER,05,Maekel,true
ER,06,Northern Red Sea,true
ER,03,Southern Red Sea,true
ES,51,Andalusia,true
ES,52,Aragon,true
ES,34,Asturias,true
ES,07,Balearic Islands,true
ES,59,Basque Country,true
ES,53,Canary Islands,true
ES,39,Cantabria,true
ES,55,Castille and León,true
ES,54,Castille-La Mancha,true
ES,56,Catalonia,true
ES,CE,Ceuta,true
ES,57,Extremadura,true
ES,58,Galicia,true
ES,27,La Rioja,true
ES,29,Madrid,true
ES,ML,Melilla,true
ES,31,Murcia,true
ES,32,Navarre,true
ES,60,Valencia,true
ET,44,Addis Ababa,true
ET,46,Amhara,true
ET,47,Bīnshangul Gumuz,true
ET,55,Central Ethiopia Regional State,true
ET,48,Dire Dawa,true
ET,49,Gambela,true
ET,50,Harari,true
ET,51,Oromiya,true
ET,SI,Sidama Region,true
ET,52,Somali,true
ET,56,South Ethiopia Regional State,true
ET,SW,South West Ethiopia Peoples' Region,true
ET,53,Tigray,true
ET,45,Āfar,true
FI,13,Central Finland,true
FI,16,Central Ostrobothnia,true
FI,18,Kainuu,true
FI,05,Kanta-Häme,true
FI,08,Kymenlaakso,true
FI,19,Lapland,true
FI,12,North Karelia,true
FI,17,North Ostrobothnia,true
FI,11,North Savo,true
FI,15,Ostrobothnia,true
FI,07,Paijat-Hame,true
FI,06,Pirkanmaa,true
FI,04,Satakunta,true
FI,09,South Karelia,true
FI,14,South Ostrobothnia,true
FI,10,South Savo,true
FI,02,Southwest Finland,true
FI,01,Uusimaa,true
FJ,01,Central,true
FJ,02,Eastern,true
